,salet
010100112020022,afire
200020202022022,shirt
0000222200,grout
0010001001,oddly
0001120102,tithe
011000000110120,plaid
000000000122202,dummy
000000110020020,broom
0010000002,lipid
001000000211002,blind
0000112012,torch
000100001101001,enemy
0100000022,again
0000100010,tying
1001000001,pesky
01121,alter
0202020100,gazer
1001110101,ethos
000101200202222,bride
0011100211,extol
0001021101,decor
000000200001120,hobby
1101221100,beast
000000100000020,idiom
000210001211022,utter
1001120001,these
2000102000,sixth
011000010001201,alarm
1101002220,erase
0011010011,elegy
2000010022,spunk
000200200221001,piper
211001002000000,scaly
2010001200,scold
000110002102021,hefty
000002000021000,chick
200010001022020,sooty
021000001012022,canal
000000002001220,whiny
2110001010,slash
010100120011000,quake
000020011102222,joint
20012,swept
000101200222022,prude
010100220002220,heavy
001100012111000,wield
000100000200000,femme
12100,basil
1210002201,lasso
020100001022002,maize
21110,shale
2002000121,screw
2002001021,spree
2000000201,smoky
000000000010000,whiff
2001220202,scent
0111022202,glade
2001220212,spent
1000000101,prism
200110100022202,stoke
000200200211001,riper
0000202120,orbit
010001020002202,cocoa
0010201101,guilt
1000022200,humus
200000000020020,shush
02111,lathe
0211112102,table
200000100220222,smirk
000000112002000,wrong
100000001001120,noisy
0111211010,alert
200000002020022,shiny
0111100200,elate
100100100002110,resin
001100002201022,whole
0000010011,humph
000001001122002,hunch
0012000012,pixel
012000022002222,polar
200000120020201,sword
0111201120,cleat
020000101002111,mango
010000100000110,rumba
000000000102012,puffy
0020000122,wharf
002000012200001,filly
002000012200000,billy
11110,leash
0010222100,clout
0201010000,dance
010110022200222,ovate
02022,facet
001002000000020,chili
020021022002222,paint
001200101101101,liner
0000021201,curio
22201,salty
0100010020,audio
210100020020202,snake
0211000002,fable
0110021000,cloak
0212010100,navel
2000200220,spurt
1001100120,pesto
0220002202,balmy
1110001211,flash
000201010022022,unwed
0211001100,early
0000020111,churn
000101000111002,weedy
2000110000,stump
1111022220,lease
00001000200020002222,witty
00000000000000202022,wimpy
2000010200,scoop
200001020020221,spoof
2202022022,saner
001100001102200,blend
2220000002,salsa
020010020202222,warty
020001001002222,manic
0111002222,blare
200000000021000,squib
200001021021221,spoon
000100220222202,probe
000100200220020,crepe
0100000101,knack
000100110222202,force
0001201000,debut
0002000212,order
1201101001,haste
0001120021,teeth
0101201010,agent
0002012200,widen
001001000001210,icily
2011010202,slice
0000210111,ingot
1110021211,clash
000000120102222,juror
001000100202222,blood
010101110121212,abode
000010012001022,unity
000020011010022,pivot
2011220212,slept
0000111010,troop
2101010220,spare
2002002222,sewer
1201000010,parse
000000220000010,morph
020012000022100,cacti
0200110002,tacky
201001120022202,spool
0001020111,demon
00000020001020002001,moody
0102002020,annex
000100001102112,begin
00000000010200202002,fuzzy
020011000000012,patch
020211011002222,water
001000010012001,lumpy
010000002220022,admin
010100110000212,omega
0010201000,limit
0200100022,tabby
020001100012011,macho
1111011110,aisle
2000000001,skiff
120000010022220,basis
011000002000000,plank
000010201202222,botch
0110020100,crawl
1010002010,lousy
2110000110,slain
000002000120100,cubic
1201000000,raise
010000210001110,wrack
000101000200200,guide
100020201020020,foist
0202001010,cameo
0002010202,under
0100111001,actor
000100100212102,revue
010000200010200,fraud
020000020200101,harpy
00100200000001022200,climb
000200000210110,refer
0012000101,olden
0101012111,debar
000111010101120,ethic
0200020110,cairn
0021120202,tulle
0010001100,ghoul
002000012201000,hilly
000101200202022,crude
0100200020,apart
2111020222,scale
001200110111022,older
011000001112102,plain
2001011000,sperm
000000012021000,briny
010020100020022,abbot
000100101122002,rerun
1001222000,quest
100000000102220,crisp
00000020211000010000,bound
000120002002122,befit
010000200200011,drawn
2001100100,suite
000010001111110,itchy
00020000020010010022,cheer
021201001012022,bagel
1001000010,guess
010001200020022,broad
0100010010,axiom
010000110022220,chard
0200210000,caput
0111202010,leant
1200001000,harsh
1001021010,curse
000000110100001,proud
200000002020020,swing
0001000122,opine
120110100000100,taste
1010000020,lupus
000000100102222,gumbo
000201200202222,miner
000201000102222,green
1100020201,chasm
000010201022020,topic
010001200000210,armor
1000011001,brush
010100121020002,crane
0110000200,mural
0122020220,abled
0200211100,habit
100000001000120,bossy
020200011012120,maker
1000002000,dusky
000000000000102,dizzy
0011102212,lithe
00000011002002022220,brook
02000000020000202002,jazzy
00001000200010002022,fifty
2001000001,sense
0100200000,giant
2010001010,surly
0111011101,legal
0210102222,fatal
0101022100,began
000100202202022,prune
2110000022,small
2110220212,slant
200000020020200,scoff
1000102110,torus
000000002001120,ninny
0002000010,covey
000200200211011,viper
0202120100,taken
0110002200,moral
000100010222002,vogue
000000102000120,owing
0002102000,token
000111100101220,entry
000010202202222,booth
0002102002,voter
000101000202200,chide
0011000111,devil
001100011101021,elfin
0001000221,ebony
000100001102221,neigh
000000001000100,minim
0021000101,melon
000201010002022,kneed
0001020101,decoy
0110002001,voila
011100110220022,ankle
010001200000010,arrow
1000012100,mushy
000112220211000,tribe
1101020220,cease
020201010002222,eager
000011002222000,birth
010000200000202,graph
000200021220222,odder
0101101111,terra
0001011001,weird
0002100001,tried
011002000020212,clack
002000201022220,color
0000002101,rough
000100000102002,weigh
0000200001,uncut
021100000202022,ladle
2000101001,strip
0100220010,craft
1000001100,minus
0002002100,dicey
0100120110,titan
0010010102,lucid
0100001210,vicar
100100200002220,dress
000010001202001,ditch
100000000020222,gypsy
1200120100,pasta
020010000210000,taffy
011100220202020,flame
200001020020222,swoop
011000100011011,aloof
2000201000,sight
000100220202202,broke
0101101211,teary
0100220020,chart
200010200022220,sixty
000000220011010,wordy
2002011022,sheer
001200100100010,leper
1002000010,nosey
002100001021200,bulge
2200001010,savor
011002000020210,clamp
000000001102002,funky
010001000002001,foamy
000010201022220,toxic
010000200120002,brand
001000020002200,plumb
000000001020002,dingy
0001110022,butte
001000001122020,drill
000112220201000,tripe
0002002000,bicep
0001121001,tenor
001000001000200,krill
1001001100,worse
010000200020200,drama
010100110001202,hyena
000010001122202,think
0200101100,ratio
010001110012110,cobra
200000100020220,scrum
1002002000,bused
000100022200222,phone
000020110012002,court
021201000002022,camel
000000110000120,proof
0101002222,heard
0112021021,angel
0111100101,petal
0000102220,pouty
000011101122220,throb
0201000011,maybe
0111100100,fetal
200001100020201,sprig
2001010201,spine
2000202100,shout
0202202122,cadet
0200011100,macro
00000020002010022002,dodgy
22001,satyr
020200020002222,rarer
000100001202200,binge
0001122001,trend
000010012002222,nutty
0111202011,leapt
110000010220022,amiss
20202,split
0000000200,myrrh
000010002211000,width
210000110020022,sonar
000210200202122,tower
0200001210,baron
00020000022010022022,fever
020200010022000,waver
2100001201,spark
0021001010,belie
2010012200,sloop
001200000211100,expel
2001111000,smote
0222002222,baler
0101011100,above
000011202200010,north
02020001002200022022,wafer
2100210200,scant
001000001020200,frill
110000020100220,awash
210001020020222,snack
201000120022210,scowl
011000010121221,frail
0000202010,drift
001000100011100,limbo
00010000120022002222,fence
0012102222,motel
0001000112,ounce
010100111000021,wreak
0012001002,revel
0220122200,talon
000000110001120,prior
0011202010,knelt
0021000002,cello
011100220202000,flake
0001020001,debug
0101001101,anode
000100200220101,crime
22210,salve
2000210100,scout
000100000201100,imbue
000000001000012,pinky
2101100002,stave
0201000100,vague
0000021000,chock
000021001000001,fight
0002002210,video
2001101001,stone
0101100211,teach
0011200110,cleft
1000201100,frost
010000200220010,prawn
000010202002020,booty
1000200010,twist
0102001020,apnea
200010100022200,stiff
011000000010110,plaza
001101001220222,ledge
0101100111,tweak
010001100022110,board
000101000111100,medic
0200011010,bacon
0211020002,cable
011000010002222,brawl
2010002012,slunk
1200001001,raspy
0000002201,forum
000201001010000,women
100000210022100,mucus
1100210200,boast
000010201022000,toddy
000201001000100,coven
000011111022022,tumor
000210001221022,truer
0100110000,wrath
21101,stall
210110000122220,steam
011000000120010,axial
000200000202200,purer
0210000202,daily
011010001122202,trail
000100001202111,niche
011100120112202,mealy
000100000202220,juice
0020001011,nylon
00100002000220022220,plump
000100100120222,merry
011000000110020,flail
021000000002010,papal
0101201020,wheat
00010010010022202222,berry
000200001210010,cower
0001210100,erect
000110202202022,brute
001101001111022,leggy
200101020121212,snipe
2002000120,sinew
200200002200000,skier
000000000102222,jumpy
010000100000120,umbra
210001120022220,scary
0002000210,modem
100000001122000,gross
0100000012,avian
000200010101001,greed
2200122200,satin
000010201022021,tonic
020000020012202,parka
200000001022022,sniff
001000000222022,livid
2100101002,stark
000011021022200,trump
000000000000212,giddy
100100101001122,reuse
020010101012120,taboo
010001002020121,avoid
000110002200122,quote
001200001122022,liken
1010001000,gloss
0202020101,gayer
0002202200,beret
100100010010022,noise
011000002000002,gland
011120201012202,dealt
201000200022200,sling
000000110100000,rumor
010100112010021,opera
000010001201000,thigh
0100122200,tonga
011100222202222,flare
00000020211000011000,wound
000110022200222,white
002000001202202,bulky
0001110002,etude
100100110002222,horse
0100001110,circa
020000000220202,paddy
000000101011101,inbox
000000000020002,fizzy
010000202222200,grain
0001200100,exert
200100100020202,surge
011102210122220,gleam
002100001022220,belle
2220011001,salvo
100001100102222,crush
0000202020,fruit
2200000212,sappy
020212011000000,taker
0100210010,tract
000100012220222,ovine
200001000121201,spiky
010000200100100,frank
000101100102011,reedy
0020110210,filth
2100000211,spasm
010100220002222,heave
0200001000,mambo
0000211010,right
0110020020,clank
100020010002222,trust
001200000101120,lumen
0001001122,borne
2000010202,spook
22010,sauce
0102000022,amber
020021000022002,carat
00020000120001022022,corer
000011002001120,dirty
201000200022002,slyly
010000002020020,affix
0120022202,alloy
0200220220,taint
200201102022220,sheep
000000001000002,kinky
0201000210,mauve
001000020022220,flung
0200211000,yacht
000200110111001,fried
011000000112020,quail
0000202001,brunt
000000010002202,grimy
0000020201,curvy
0202010002,cagey
100100100000122,rinse
0001020002,deuce
210110000222202,state
1100002211,grasp
002000011202212,milky
1000000020,bison
010020001022202,graft
220000001222002,sandy
1201121000,baste
1110000211,flask
000101000201000,hedge
001000001000110,girly
210000020021200,swash
00020100100000202222,boney
000100010202012,coupe
0001010111,endow
010001100011110,abhor
0021010000,welch
01110022022200022202,blade
00002100100000002222,tight
100100000002022,geese
1002000102,miser
000011002202010,mirth
0010021102,cloud
0210010000,cabal
001100001111200,leech
1011002020,close
000112002122022,tenth
0101002100,pecan
0000202220,droit
011000010101221,grail
001100001201110,clone
100100001022120,guise
0220022200,ralph
020010100002102,tango
000000000000202,biddy
2000111000,smith
00020000121000000100,mower
0202000001,payee
2001001100,serif
010100121122202,drape
000010002200001,fifth
210000020122201,spank
011102220222202,glaze
01202,allot
000011021022202,truck
0200000001,kayak
100000100111010,virus
1001120020,testy
000210000020120,tepee
002000002220000,fully
0110002010,zonal
000111100102222,metro
000002020122202,curry
010000200100002,grand
020000101002011,banjo
0100010012,axion
001202000222022,bezel
0000011101,occur
0100000122,chain
1210002202,nasal
000200001002022,gooey
0022021100,filer
010102121012010,brace
000001000102110,pubic
02020001000200002021,raven
011100210100000,plead
1100000211,gnash
011000000010012,flaky
000001001102102,munch
0020020022,dully
000100002101020,eking
000010001122200,thing
201000200222202,slink
000000020102222,hurry
000120000000202,theft
200000121000101,shorn
000000000000012,pygmy
0200010110,ranch
000000012000000,wring
001100001101100,lemon
200100101001001,shore
020000000022001,mamma
00010022020220202202,froze
000202000222022,newer
2011122022,style
100100020002010,moose
0100110122,antic
000000111000001,drown
010100210002022,vegan
1001020000,chess
00000000010202202222,guppy
0000001011,union
001200100100000,lever
0010002020,lorry
010100120010101,image
020002000222002,cabby
000000010111000,druid
010120111020222,exact
0000110222,truth
0002000110,dopey
2101010110,spear
000200110111100,cried
000100000200210,chime
0000021120,crony
200010010022220,stunk
000010001020100,timid
0200110010,batch
020100020022202,gauge
0000122010,rotor
010000210001010,crack
000100100210202,curve
0211122202,latte
000010001222000,witch
000001001102002,bunch
001200100222022,repel
011000001121101,anvil
210000020121200,soapy
0002120002,meter
000011102202222,broth
021000000202022,madly
000200110121000,dried
200100000121102,scene
000000101000101,known
020000000022000,magma
1000202100,roost
0100010002,woman
0000101011,thong
000001001102012,punch
1200120102,pasty
000000202022020,downy
010100110200222,knead
0010000020,whirl
020000010022022,rapid
011002002022220,clang
0102002022,anger
0001022002,drive
00000020000020002202,goofy
011100120111200,email
100000210022200,music
200010000010000,stuff
001202000122220,bleep
000200220221000,rider
010100210002210,mecca
0020002110,folio
200110010021011,setup
100100110001221,verso
110000020122220,quash
0200000020,fauna
00000000010220202222,gummy
020000000210002,happy
001100002110120,newly
100000200002202,fussy
0021001000,relic
0100000000,guava
0200100102,ratty
000101000200010,fudge
000100100111100,femur
000002010021202,chirp
000110102212022,forte
0110000002,alibi
000100002200022,whine
000111002102222,petty
002000202200100,golly
0110202100,plait
001100001112202,fleck
0021000001,felon
000000210112210,gourd
000000111020000,brown
0000110111,thrum
100000100011100,ficus
210010000022200,stash
000102100122102,decry
1002000002,wiser
010011020012220,junta
1000000022,visor
020021002000110,daunt
200200102120222,scree
001200001211022,impel
010020000001202,await
1001002001,press
100100020001010,whose
000011111022011,turbo
200010002022220,stoop
210101010021101,speak
020000001202202,mangy
000100002101021,eying
0022201222,inlet
000100222202222,crone
1021001220,pulse
1000000110,mossy
2100100100,staid
000100001200221,hence
000001001000000,pinch
000112000122000,teddy
2020020202,sully
2001001011,snore
0002012001,ripen
200000021020221,snowy
0100110022,attic
000000202002222,going
011100120122200,leach
000010222202222,mouth
000000202110001,hound
001002020000020,clump
011010202022022,tonal
0000210110,bigot
001100011102022,peril
000100000200120,piece
011100220222020,blame
0201102112,haute
2002000020,spied
000000001111000,undid
000011101011100,intro
1210022202,basal
0002000211,rodeo
010000100010220,guard
2002100010,steer
011000200012011,loamy
2100010222,scamp
2100011110,scram
021000001212202,manly
0021020002,hello
020021002001100,vaunt
0100022002,organ
011100111112022,feral
0000011010,knock
010110111111022,extra
000002201010000,condo
010020000122002,adapt
002000012220000,willy
0120010200,polka
0200001111,rayon
200020002020022,skirt
020010000002100,faith
1000102010,torso
020011000000102,match
000100100120202,mercy
0001120101,tepid
2012020021,sleek
1002020002,riser
0000200010,twixt
010100220002202,peace
1010000011,flush
0200120002,catty
001000200002010,login
0001210000,eject
00020000120000022022,roger
011000010101111,rival
000111010201222,untie
000120012022022,refit
0100112000,aorta
0110201000,adult
00010100020000002222,judge
00020000121000000000,rower
1100112120,artsy
011000020002222,rural
210100220001202,shave
000000200000120,bobby
01212,eclat
0121002210,fella
021000020202222,gaily
020000020200001,harry
1200100112,hasty
000000110000011,hydro
0011010112,liege
0110101020,octal
000100110201102,ombre
0202000101,payer
200010001022022,sooth
1002200110,unset
0020201202,unlit
0000200120,vomit
020000002202222,fanny
1001110000,fetus
000010011200010,butch
2110122220,stalk
011001000002222,flack
000000100020020,widow
